Time,Fx1,Fy1,COPx1,COPy1
334,-10.13,25.07,1376.63,0
335,-18.65,69.88,1390.1,0
336,-39.07,178,1392.69,0
337,-44.22,259.16,1395.05,0
338,-49.68,290.18,1398.44,0
339,-49.84,282.04,1401.98,0
340,-47.91,274.83,1401.18,0
341,-45.82,284.55,1404.01,0
342,-45.34,306.48,1404.84,0
343,-47.59,342.82,1406.09,0
344,-50.01,387.61,1411.02,0
345,-57.88,429.57,1414.16,0
346,-71.86,467.45,1418.68,0
347,-85.2,462.42,1419.87,0
348,-100.47,460.84,1423.56,0
349,-110.11,455.82,1426.59,0
350,-114.29,462.72,1427.33,0
351,-112.84,475.55,1431.04,0
352,-115.57,495.91,1431.45,0
353,-117.18,520.96,1432.95,0
354,-121.36,552.59,1435.06,0
355,-123.61,576.39,1436.28,0
356,-126.82,593.62,1437.09,0
357,-131,610.53,1437.43,0
358,-133.89,620.86,1440.67,0
359,-136.79,630.57,1440.36,0
360,-137.43,641.84,1441.26,0
361,-136.95,655.61,1442.46,0
362,-135.66,670.33,1442.92,0
363,-134.38,680.04,1442.89,0
364,-131,687.55,1443.09,0
365,-128.11,688.49,1443.83,0
366,-125.06,694.76,1443.52,0
367,-122.17,692.56,1442.34,0
368,-118.31,698.83,1443.54,0
369,-115.74,696,1443.19,0
370,-112.04,696,1442.18,0
371,-106.9,697.56,1443.85,0
372,-103.04,696.62,1443.58,0
373,-99.03,692.23,1442.92,0
374,-96.13,692.23,1442.94,0
375,-90.99,690.35,1443.13,0
376,-87.45,681.88,1443.61,0
377,-82.63,678.44,1443.35,0
378,-79.1,674.98,1444.12,0
379,-76.53,669.66,1444.84,0
380,-73.63,662.77,1445.17,0
381,-70.42,654.93,1445.73,0
382,-66.88,650.85,1446.29,0
383,-63.51,641.76,1447.75,0
384,-61.42,633.62,1446.37,0
385,-56.76,627.98,1448.79,0
386,-54.19,618.57,1449.33,0
387,-52.26,603.23,1449.19,0
388,-49.05,601.35,1450.94,0
389,-47.44,589.75,1450.94,0
390,-44.38,580.35,1453.11,0
391,-43.26,571.89,1453.19,0
392,-41.49,563.42,1454.66,0
393,-39.24,553.4,1454.84,0
394,-37.63,544.62,1457.61,0
395,-37.15,533.97,1458.1,0
396,-35.38,528.32,1460.12,0
397,-32.65,520.17,1461.82,0
398,-32.49,510.46,1463.57,0
399,-32.33,508.27,1464.27,0
400,-30.72,499.17,1465.8,0
401,-27.99,490.09,1466.98,0
402,-26.7,488.52,1468.91,0
403,-27.5,481.94,1470.01,0
404,-25.09,480.37,1471.05,0
405,-23.65,475.03,1473.57,0
406,-23.48,471.28,1474.66,0
407,-22.04,469.71,1474.84,0
408,-21.23,467.51,1476.78,0
409,-18.98,468.14,1478.39,0
410,-19.47,465.31,1479.66,0
411,-17.7,462.8,1480.78,0
412,-15.13,465.62,1481.87,0
413,-15.29,464.98,1483.97,0
414,-14.16,464.67,1484.21,0
415,-12.72,457.45,1485.8,0
416,-10.63,461.52,1487.96,0
417,-10.14,461.21,1489.49,0
418,-10.3,465.28,1490.29,0
419,-6.77,461.51,1491.07,0
420,-6.29,461.5,1493.56,0
421,-4.68,463.38,1493.78,0
422,-5.8,464.63,1494.77,0
423,-2.75,466.49,1498.35,0
424,-4.52,467.75,1497.39,0
425,-4.2,469.93,1499.99,0
426,-3.23,472.12,1499.98,0
427,-1.62,471.49,1502.53,0
428,-3.07,476.18,1504.39,0
429,-1.62,478.37,1504.67,0
430,-1.46,479.92,1506.39,0
431,0.47,482.12,1506.44,0
432,0.14,487.75,1507.18,0
433,2.39,490.88,1506.88,0
434,3.68,495.57,1510.15,0
435,4.48,500.27,1509.56,0
436,6.09,499.64,1509.97,0
437,8.5,503.7,1512.28,0
438,7.21,511.53,1512.18,0
439,10.27,513.72,1512.8,0
440,12.36,515.59,1513.22,0
441,13.48,518.72,1514.48,0
442,14.12,527.18,1513.33,0
443,17.02,531.55,1515.65,0
444,19.27,533.74,1517.34,0
445,20.07,535.93,1517.71,0
446,22.48,544.06,1517.75,0
447,25.85,546.25,1519.49,0
448,25.69,552.82,1521.01,0
449,26.5,558.47,1520.48,0
450,29.07,562.84,1521.47,0
451,30.68,562.21,1522.96,0
452,31.8,571.29,1524.65,0
453,32.6,575.99,1524.23,0
454,35.18,583.81,1526.02,0
455,38.23,585.69,1526.21,0
456,39.36,591.01,1527.49,0
457,41.44,591.01,1527.87,0
458,44.98,600.09,1529.18,0
459,46.27,604.47,1530.15,0
460,47.71,611.37,1530.6,0
461,51.57,614.8,1531.68,0
462,53.01,620.12,1532.48,0
463,54.62,626.07,1533.05,0
464,58.48,628.89,1534.32,0
465,63.14,630.45,1535.5,0
466,63.94,639.53,1536.02,0
467,67.48,644.86,1536.13,0
468,69.73,646.42,1537.87,0
469,74.07,653.62,1538.5,0
470,75.35,656.44,1538.74,0
471,79.53,657.06,1539.21,0
472,82.26,661.76,1539.45,0
473,84.67,662.07,1540.65,0
474,87.89,666.46,1541.59,0
475,91.42,668.02,1541.86,0
476,95.12,667.08,1543.21,0
477,98.33,666.77,1543.92,0
478,101.39,672.1,1543.19,0
479,105.72,669.28,1544.31,0
480,107.81,668.96,1545.13,0
481,112.15,669.91,1544.92,0
482,115.69,667.4,1545.51,0
483,119.06,663.33,1545.71,0
484,121.31,660.52,1546.9,0
485,125.97,658.95,1547.05,0
486,130.15,654.26,1546.98,0
487,132.56,649.88,1547.44,0
488,135.77,649.57,1547.21,0
489,141.24,639.87,1547.76,0
490,144.77,631.11,1547.82,0
491,146.7,625.47,1548.55,0
492,150.39,620.78,1547.84,0
493,153.45,606.39,1548.26,0
494,154.41,594.5,1548.97,0
495,156.98,577.59,1548.93,0
496,160.04,563.82,1550.25,0
497,160.52,545.36,1549.61,0
498,158.59,530.03,1549.88,0
499,156.99,511.24,1551.1,0
500,154.09,491.21,1551.39,0
501,151.52,467.74,1552.75,0
502,144.78,446.77,1551.84,0
503,142.85,419.53,1552.97,0
504,137.55,394.49,1554.68,0
505,130.16,366.64,1553.84,0
506,123.9,337.22,1554.17,0
507,116.83,304.33,1557.25,0
508,107.51,276.8,1556.23,0
509,100.28,244.24,1557.43,0
510,90.33,213.25,1558.29,0
511,79.56,179.75,1561.35,0
512,67.35,152.83,1560.75,0
513,55.95,130.91,1560.97,0
514,43.09,105.86,1574.11,0
515,27.51,86.76,1575.46,0
516,19.47,76.74,1569.73,0
517,15.94,65.15,1589.06,0
518,10.64,52,1581.07,0
519,5.34,44.17,1573.04,0
520,0.36,34.77,1569.84,0
521,-1.89,25.69,1590.58,0
522,-5.43,16.61,1569.91,0
